Id. ,ESRS,Exigence de publication (DR),Description de l'exigence de publication ,Paragraphe,Related AR,Nom,Question ,Précision des informations qualitatives,Type de données,DP conditionnel ou alternatif
E1-8-63d1,E1, E1-8 ,Tarification interne du carbone,63d,,Pourcentage des émissions brutes de gaz à effet de serre du Scope 1 couvertes par le schéma de tarification interne du carbone,Quel est le pourcentage des émissions brutes de gaz à effet de serre du Scope 1 couvertes par le schéma de tarification interne du carbone ?,,tableau/pourcentage,
E1-8-63d2,E1, E1-8 ,Tarification interne du carbone,63d,,Pourcentage des émissions brutes de gaz à effet de serre du Scope 2 couvertes par le schéma de tarification interne du carbone,Quel est le pourcentage des émissions brutes de gaz à effet de serre du Scope 2 couvertes par le schéma de tarification interne du carbone ?,,tableau/pourcentage,
E1-8-63d3,E1, E1-8 ,Tarification interne du carbone,63d,,Pourcentage des émissions brutes de gaz à effet de serre du Scope 3 couvertes par le schéma de tarification interne du carbone,Quel est le pourcentage des émissions brutes de gaz à effet de serre du Scope 3 couvertes par le schéma de tarification interne du carbone ?,,tableau/pourcentage,Conditionnel
E1-8-AR65,E1, E1-8 ,Tarification interne du carbone,AR 65,,Divulgation de la manière dont le prix du carbone utilisé dans le schéma de tarification interne du carbone est cohérent avec le prix du carbone utilisé dans les états financiers,Pouvez-vous divulguer la manière dont le prix du carbone utilisé dans le schéma de tarification interne du carbone est cohérent avec le prix du carbone utilisé dans les états financiers ?,,tableau/narratif,Conditionnel
E1-9-66a-5,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,66a,AR 70,Divulgation de l'emplacement des actifs significatifs à risque physique matériel,Pouvez-vous divulguer l'emplacement des actifs significatifs à risque physique matériel ?,,narratif,
E1-9-AR70ci,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,AR 70 c i),,Divulgation de l'emplacement de ses actifs significatifs à risque physique matériel (désagrégés par codes NUTS),Pouvez-vous divulguer l'emplacement de vos actifs significatifs à risque physique matériel (désagrégés par codes NUTS) ?,,tableau/narratif,
E1-9-AR69a,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,AR 69a,,Divulgation de la manière dont les effets financiers anticipés pour les actifs et les activités commerciales à risque physique matériel ont été évalués,Pouvez-vous divulguer la manière dont les effets financiers anticipés pour les actifs et les activités commerciales à risque physique matériel ont été évalués ?,,narratif,
E1-9-AR69b,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,AR 69b,,Divulgation de la manière dont l'évaluation des actifs et des activités commerciales considérés à risque physique matériel s'appuie sur ou fait partie du processus de détermination du risque physique matériel et de détermination des scénarios climatiques,Pouvez-vous divulguer la manière dont l'évaluation des actifs et des activités commerciales considérés à risque physique matériel s'appuie sur ou fait partie du processus de détermination du risque physique matériel et de détermination des scénarios climatiques ?,,narratif,
E1-9-AR71b-1,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,AR 71b,,Divulgation des facteurs de risque pour le revenu net provenant des activités commerciales à risque physique matériel,Pouvez-vous divulguer les facteurs de risque pour le revenu net provenant des activités commerciales à risque physique matériel ?,,narratif,
E1-9-AR71b-2,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,AR 71b,,Divulgation de l'ampleur des effets financiers anticipés en termes d'érosion des marges pour les activités commerciales à risque physique matériel,Pouvez-vous divulguer l'ampleur des effets financiers anticipés en termes d'érosion des marges pour les activités commerciales à risque physique matériel ?,,narratif,Conditionnel
E1-9-AR72a,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,"AR 72a, AR 73a",,Divulgation de la manière dont les effets potentiels sur la performance financière future et la position des actifs et des activités commerciales à risque de transition matériel ont été évalués,Pouvez-vous expliquer la manière dont les effets potentiels sur la performance financière future et la position des actifs et des activités commerciales à risque de transition matériel ont été évalués ?,,narratif,
E1-9-AR72b,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,AR 72b,,Divulgation de la manière dont l'évaluation des actifs et des activités commerciales considérés à risque de transition matériel s'appuie sur ou fait partie du processus de détermination des risques de transition matériels et de détermination des scénarios,Pouvez-vous expliquer la manière dont l'évaluation des actifs et des activités commerciales considérés à risque de transition matériel s'appuie sur ou fait partie du processus de détermination des risques de transition matériels et de détermination des scénarios ?,,narratif,
E1-9-AR76b-1,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,AR 76b,,Divulgation des facteurs de risque pour le revenu net provenant des activités commerciales à risque de transition matériel,Quels sont les risques pour votre revenu net provenant des activités à risque de transition ?,,narratif,
E1-9-AR76b-2,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,AR 76b,,Divulgation des effets financiers anticipés en termes d'érosion des marges pour les activités commerciales à risque de transition matériel,"Quels effets financiers anticipés, comme l'érosion des marges, pourriez-vous rencontrer dans vos activités à risque de transition ?","Par exemple: ""Les régulations environnementales renforcées pourraient augmenter les coûts de production en raison de l'obligation d'utiliser des technologies plus coûteuses. Cela entraînerait une réduction des marges bénéficiaires.""",narratif/monétaire,
E1-9-68a,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,68a,,Divulgation des rapprochements avec les états financiers des montants significatifs d'actifs et de revenu net à risque physique matériel,Pouvez-vous expliquer comment les montants significatifs d'actifs et de revenu net à risque physique sont liés à vos états financiers ?,,narratif,
E1-9-68b,E1, E1-9 ,Incidences financières escomptées des risques physiques et de transition importants et opportunités potentielles liées au changement climatique,68b,,"Divulgation des rapprochements avec les états financiers des montants significatifs d'actifs, de passifs et de revenu net à risque de transition matériel","Pouvez-vous expliquer comment les montants significatifs d'actifs, de passifs et de revenu net à risque de transition sont liés à vos états financiers ?",,narratif,
E2-IRO1-11a,E2, E2.IRO-1 ,"Description des procédures de recensement et d'évaluation des incidences, risques et opportunités importants en matière de pollution",11 a,AR 1- AR 8,"Information sur les méthodologies, les hypothèses et les outils utilisés pour examiner les emplacements des sites et les activités commerciales afin d'identifier les impacts, risques et opportunités réels et potentiels liés à la pollution dans ses propres opérations et dans la chaîne de valeur en amont et en aval","Quelles sont les méthodologies, hypothèses et outils utilisés pour examiner les emplacements des sites et les activités commerciales afin d'identifier les impacts, risques et opportunités réels et potentiels liés à la pollution dans vos propres opérations et dans la chaîne de valeur en amont et en aval?",,narratif,
E2-IRO1-11b,E2, E2.IRO-1 ,"Description des procédures de recensement et d'évaluation des incidences, risques et opportunités importants en matière de pollution",11 b,,Déclaration indiquant si et comment des consultations ont été menées (pollution),"Avez-vous mené des consultations sur la pollution? Si oui, comment?",,narratif,
E2-IRO1-AR9,E2, E2.IRO-1 ,"Description des procédures de recensement et d'évaluation des incidences, risques et opportunités importants en matière de pollution",AR 9,,Déclaration des résultats de l'évaluation de matérialité (pollution),Quels sont les résultats de votre évaluation de matérialité concernant la pollution?,,narratif,
E2-1-15a,E2, E2-1 ,Politiques en matière de pollution,15 a,AR 11,"Déclaration indiquant si et comment la politique aborde la mitigation des impacts négatifs liés à la pollution de l'air, de l'eau et du sol","Votre politique aborde-t-elle la mitigation des impacts négatifs liés à la pollution de l'air, de l'eau et du sol? Si oui, comment?",,narratif,
E2-1-15b,E2, E2-1 ,Politiques en matière de pollution,15 b,AR 11,Déclaration indiquant si et comment la politique aborde la substitution et la minimisation de l'utilisation de substances préoccupantes et l'élimination des substances extrêmement préoccupantes,"Votre politique aborde-t-elle la substitution et la minimisation de l'utilisation de substances préoccupantes et l'élimination des substances extrêmement préoccupantes? Si oui, comment?",,narratif,
E2-1-15c,E2, E2-1 ,Politiques en matière de pollution,15 c,,"Déclaration indiquant si et comment la politique aborde la prévention des incidents et situations d'urgence, et, le cas échéant, le contrôle et la limitation de leur impact sur les personnes et l'environnement","Votre politique aborde-t-elle la prévention des incidents et situations d'urgence, et le contrôle et la limitation de leur impact sur les personnes et l'environnement? Si oui, comment?",,narratif,
E2-1-AR12,E2, E2-1 ,Politiques en matière de pollution,AR 12,,"Déclaration d'informations contextuelles sur les relations entre les politiques mises en œuvre et comment ces politiques contribuent au Plan d'Action de l'UE vers une pollution zéro pour l'air, l'eau et le sol","Comment vos politiques mises en œuvre contribuent-elles au Plan d'Action de l'UE vers une pollution zéro pour l'air, l'eau et le sol?",,narratif,
E2-2-19-1,E2, E2-2 ,Actions et ressources relatives à la pollution,19,,Niveau dans la hiérarchie de mitigation auquel l'action peut être attribuée (pollution),À quel niveau dans la hiérarchie de mitigation l'action peut-elle être attribuée (pollution)?,,semi-narratif,
E2-2-AR13,E2, E2-2 ,Actions et ressources relatives à la pollution,AR 13,,L'action liée à la pollution s'étend aux engagements de la chaîne de valeur en amont/en aval,L'action liée à la pollution s'étend-elle aux engagements de la chaîne de valeur en amont/en aval?,,semi-narratif,
E2-2-19-2,E2, E2-2 ,Actions et ressources relatives à la pollution,19,AR 14,Niveau dans la hiérarchie de mitigation auquel les ressources peuvent être attribuées (pollution),À quel niveau dans la hiérarchie de mitigation les ressources peuvent-elles être attribuées (pollution)?,,semi-narratif,
E2-2-AR15,E2, E2-2 ,Actions et ressources relatives à la pollution,AR 15,,Informations sur les plans d'action qui ont été mis en œuvre au niveau des sites (pollution),Quels plans d'action ont été mis en œuvre au niveau des sites concernant la pollution?,,narratif,Conditionnel
E2-3-23a,E2, E2-3 ,Cibles liées à la pollution,23 a,,Déclaration indiquant si et comment la cible est liée à la prévention et au contrôle des polluants atmosphériques et des charges spécifiques respectives,"Votre cible est-elle liée à la prévention et au contrôle des polluants atmosphériques et des charges spécifiques respectives? Si oui, comment?",,narratif,
E2-3-23b,E2, E2-3 ,Cibles liées à la pollution,23 b,,Déclaration indiquant si et comment la cible est liée à la prévention et au contrôle des émissions dans l'eau et des charges spécifiques respectives,"Votre cible est-elle liée à la prévention et au contrôle des émissions dans l'eau et des charges spécifiques respectives? Si oui, comment?",,narratif,
E2-3-23c,E2, E2-3 ,Cibles liées à la pollution,23 c,,Déclaration indiquant si et comment la cible est liée à la prévention et au contrôle de la pollution du sol et des charges spécifiques respectives,"Votre cible est-elle liée à la prévention et au contrôle de la pollution du sol et des charges spécifiques respectives? Si oui, comment?",,narratif,
E2-3-23d,E2, E2-3 ,Cibles liées à la pollution,23 d,,Déclaration indiquant si et comment la cible est liée à la prévention et au contrôle des substances préoccupantes et des substances extrêmement préoccupantes,"Votre cible est-elle liée à la prévention et au contrôle des substances préoccupantes et des substances extrêmement préoccupantes? Si oui, comment?",,narratif,
E2-3-24,E2, E2-3 ,Cibles liées à la pollution,24,AR 16,Les seuils écologiques et les allocations spécifiques à l'entité ont été pris en compte lors de la définition des cibles liées à la pollution,Les seuils écologiques et les allocations spécifiques à l'entité ont-ils été pris en compte lors de la définition des cibles liées à la pollution?,,semi-narratif,
E2-3-24a,E2, E2-3 ,Cibles liées à la pollution,24 a,AR 16,Déclaration des seuils écologiques identifiés et méthodologie utilisée pour identifier les seuils écologiques (pollution),Quels sont les seuils écologiques identifiés et quelle méthodologie a été utilisée pour les identifier (pollution)?,,narratif,Conditionnel
E2-3-24b,E2, E2-3 ,Cibles liées à la pollution,24 b,AR 16,Déclaration de la manière dont les seuils écologiques spécifiques à l'entité ont été déterminés (pollution),Comment les seuils écologiques spécifiques à l'entité ont-ils été déterminés (pollution)?,,narratif,Conditionnel
E2-3-24c,E2, E2-3 ,Cibles liées à la pollution,24 c,AR 16,Déclaration de la manière dont la responsabilité de respecter les seuils écologiques identifiés est attribuée (pollution),Comment la responsabilité de respecter les seuils écologiques identifiés est-elle attribuée (pollution)?,,narratif,Conditionnel
E2-3-25,E2, E2-3 ,Cibles liées à la pollution,25,,La cible liée à la pollution est obligatoire (exigée par la législation)/volontaire,Votre cible liée à la pollution est-elle obligatoire (exigée par la législation) ou volontaire?,,semi-narratif,
E2-3-AR17,E2, E2-3 ,Cibles liées à la pollution,AR 17,,La cible liée à la pollution aborde les lacunes relatives aux critères de Contribution Substantielle pour la Prévention et le Contrôle de la Pollution,Votre cible liée à la pollution aborde-t-elle les lacunes relatives aux critères de Contribution Substantielle pour la Prévention et le Contrôle de la Pollution?,,semi-narratif,
E2-3-AR18,E2, E2-3 ,Cibles liées à la pollution,AR 18,,Informations sur les cibles qui ont été mises en œuvre au niveau des sites (pollution),Quelles informations sur les cibles mises en œuvre au niveau des sites concernant la pollution pouvez-vous fournir?,,narratif,Conditionnel
E2-4-30a,E2, E2-4 ,"Pollution de l'air, de l'eau et des sols",30 a,AR 27,"Description des changements au fil du temps (pollution de l'air, de l'eau et du sol)","Comment les niveaux de pollution de l'air, de l'eau et du sol ont-ils changé au fil du temps?",,narratif,
E2-4-30b,E2, E2-4 ,"Pollution de l'air, de l'eau et des sols",30 b ,AR 27,"Description des méthodologies de mesure (pollution de l'air, de l'eau et du sol)","Quelles sont les méthodologies de mesure utilisées pour évaluer la pollution de l'air, de l'eau et du sol?",,narratif,
E2-4-30c,E2, E2-4 ,"Pollution de l'air, de l'eau et des sols",30 c,AR 27,Description des processus de collecte de données pour la comptabilité et le reporting liés à la pollution,Quels sont les processus de collecte de données pour la comptabilité et le reporting liés à la pollution?,,narratif,
E2-4-31,E2, E2-4 ,"Pollution de l'air, de l'eau et des sols",31,,Déclaration des raisons pour lesquelles une méthodologie inférieure a été choisie pour quantifier les émissions,Quelles sont les raisons pour lesquelles vous avez choisi une méthodologie inférieure pour quantifier les émissions?,,narratif,Conditionnel
E2-6-40c,E2, E2-6 ,"Incidences financières escomptées des incidences, risques et opportunités liés à la pollution",40 c,AR 31 a,Provisions pour les coûts de protection environnementale et de réhabilitation (pollution),Quelles sont les provisions pour les coûts de protection environnementale et de réhabilitation liés à la pollution?,,narratif,
E2-6-39a-2,E2, E2-6 ,"Incidences financières escomptées des incidences, risques et opportunités liés à la pollution",39 a,,Déclaration des informations qualitatives sur les effets financiers anticipés des risques et opportunités matériels découlant des impacts liés à la pollution,"Quels sont les effets financiers anticipés des risques et opportunités matériels liés aux impacts de la pollution, en termes qualitatifs?",,narratif,
E2-6-39b,E2, E2-6 ,"Incidences financières escomptées des incidences, risques et opportunités liés à la pollution",39 b,,"Description des effets considérés, des impacts liés et des horizons temporels dans lesquels ils sont susceptibles de se matérialiser (pollution)","Quels sont les effets considérés, les impacts liés et les horizons temporels dans lesquels ils sont susceptibles de se matérialiser?",,narratif,
E2-6-39c,E2, E2-6 ,"Incidences financières escomptées des incidences, risques et opportunités liés à la pollution",39 c,AR 33,"Déclaration des hypothèses critiques utilisées pour quantifier les effets financiers anticipés, des sources et du niveau d'incertitude des hypothèses (pollution)","Quelles sont les hypothèses critiques utilisées pour quantifier les effets financiers anticipés, les sources et le niveau d'incertitude des hypothèses?",,narratif,
E2-6-41,E2, E2-6 ,"Incidences financières escomptées des incidences, risques et opportunités liés à la pollution",41,,"Description des incidents matériels et des dépôts où la pollution a eu des impacts négatifs sur l'environnement et/ou devrait avoir des effets négatifs sur les flux de trésorerie, la situation financière et les performances financières","Quels incidents matériels et dépôts ont eu des impacts négatifs sur l'environnement et/ou devraient avoir des effets négatifs sur les flux de trésorerie, la situation financière et les performances financières?",,narratif,
E2-6-AR33,E2, E2-6 ,"Incidences financières escomptées des incidences, risques et opportunités liés à la pollution",AR 33,,"Déclaration de l'évaluation des produits et services associés à un risque et explication de la manière dont l'horizon temporel est défini, les montants financiers sont estimés et quelles hypothèses critiques sont faites (polluti","Comment l'évaluation des produits et services associés à un risque est-elle réalisée? Comment l'horizon temporel est-il défini, les montants financiers sont-ils estimés et quelles hypothèses critiques sont faites?",,narratif,
E3-IRO1-8a,E3,IRO-1,"Description des procédures d'identification et d'évaluation des incidences, risques et opportunités importants liés aux ressources aquatiques et marines",8 a),AR 1- AR 15,"Déclaration indiquant si et comment les actifs et les activités ont été examinés afin d'identifier les impacts, risques et opportunités réels et potentiels liés aux ressources en eau et marines dans ses propres opérations et dans la chaîne de valeur en amont et en aval, ainsi que les méthodologies, hypothèses et outils utilisés pour l'examen [bloc de texte]","Avez-vous examiné les actifs et les activités pour identifier les impacts, risques et opportunités réels et potentiels liés aux ressources en eau et marines dans vos opérations et dans la chaîne de valeur en amont et en aval ? Si oui, quelles méthodologies, hypothèses et outils avez-vous utilisés pour cet examen ?",,narratif,
E3-IRO1-8b,E3,IRO-1,"Description des procédures d'identification et d'évaluation des incidences, risques et opportunités importants liés aux ressources aquatiques et marines",8 b,AR 1- AR 15,Déclaration de la manière dont les consultations ont été menées (ressources en eau et marines) [bloc de texte],Comment avez-vous mené les consultations concernant les ressources en eau et marines ?,,narratif,
E3-1-12a,E3,E3-1,Politiques en matière de ressources aquatiques et marines,12a,E3,Déclaration indiquant si et comment la politique aborde la gestion de l'eau,"Votre politique aborde-t-elle la gestion de l'eau ? Si oui, comment ?",,narratif,
E3-1-12ai,E3,E3-1,Politiques en matière de ressources aquatiques et marines,12a i,E3,Déclaration indiquant si et comment la politique aborde l'utilisation et l'approvisionnement en ressources en eau et marines dans ses propres opérations,"Votre politique aborde-t-elle l'utilisation et l'approvisionnement en ressources en eau et marines dans vos opérations ? Si oui, comment ?",,narratif,
E3-1-12aii,E3,E3-1,Politiques en matière de ressources aquatiques et marines,12a ii,E3,Déclaration indiquant si et comment la politique aborde le traitement de l'eau,"Votre politique aborde-t-elle le traitement de l'eau ? Si oui, comment ?",,narratif,
E3-1-12aiii,E3,E3-1,Politiques en matière de ressources aquatiques et marines,12a iii,E3,Déclaration indiquant si et comment la politique aborde la prévention et la réduction de la pollution de l'eau,"Votre politique aborde-t-elle la prévention et la réduction de la pollution de l'eau ? Si oui, comment ?",,narratif,
E3-1-12b,E3,E3-1,Politiques en matière de ressources aquatiques et marines,12 b,E3,Déclaration indiquant si et comment la politique aborde la conception des produits et services en vue de traiter les problèmes liés à l'eau et de préserver les ressources marines,"Votre politique aborde-t-elle la conception des produits et services pour traiter les problèmes liés à l'eau et préserver les ressources marines ? Si oui, comment ?",,narratif,
E3-1-12c,E3,E3-1,Politiques en matière de ressources aquatiques et marines,12 c,E3,Déclaration indiquant si et comment la politique aborde l'engagement à réduire la consommation matérielle d'eau dans les zones à risque hydrique,"Votre politique aborde-t-elle l'engagement à réduire la consommation matérielle d'eau dans les zones à risque hydrique ? Si oui, comment ?",,narratif,
E3-1-13-1,E3,E3-1,Politiques en matière de ressources aquatiques et marines,13,E3,Déclaration des raisons pour ne pas avoir adopté de politiques dans les zones de stress hydrique élevé,Quelles sont les raisons pour lesquelles vous n'avez pas adopté de politiques dans les zones de stress hydrique élevé ?,,narratif,Conditional
E3-1-13-2,E3,E3-1,Politiques en matière de ressources aquatiques et marines,13,,Déclaration du calendrier dans lequel les politiques dans les zones de stress hydrique élevé seront adoptées,Quel est le calendrier pour l'adoption des politiques dans les zones de stress hydrique élevé?,,narratif,Conditional
E3-1-14,E3,E3-1,Politiques en matière de ressources aquatiques et marines,14,,Politiques ou pratiques liées aux océans et mers durables ont été adoptées,Avez-vous adopté des politiques ou pratiques liées aux océans et mers durables?,,semi-narratif,
E3-1-AR18a,E3,E3-1,Politiques en matière de ressources aquatiques et marines,AR 18a,,"La politique contribue à la bonne qualité écologique et chimique des masses d'eau de surface et à la bonne qualité chimique et quantité des masses d'eau souterraine, afin de protéger la santé humaine, l'approvisionnement en eau, les écosystèmes naturels et la biodiversité, le bon état environnemental des eaux marines et la protection de la base de ressources sur laquelle dépendent les activités liées à la mer","Votre politique contribue-t-elle à la bonne qualité écologique et chimique des masses d'eau de surface et à la bonne qualité chimique et quantité des masses d'eau souterraine pour protéger la santé humaine, l'approvisionnement en eau, les écosystèmes naturels et la biodiversité, ainsi que le bon état environnemental des eaux marines et la protection de la base de ressources sur laquelle dépendent les activités marines? Si oui, comment?",,semi-narratif,
E3-1-AR18b,E3,E3-1,Politiques en matière de ressources aquatiques et marines,AR 18b,,La politique minimise les impacts et risques matériels et met en œuvre des mesures d'atténuation visant à maintenir la valeur et la fonctionnalité des services prioritaires et à accroître l'efficacité des ressources dans ses propres opérations,"Votre politique minimise-t-elle les impacts et risques matériels et met-elle en œuvre des mesures d'atténuation visant à maintenir la valeur et la fonctionnalité des services prioritaires et à accroître l'efficacité des ressources dans vos opérations? Si oui, comment?",,semi-narratif,
E3-1-AR18c,E3,E3-1,Politiques en matière de ressources aquatiques et marines,AR 18c,,La politique évite les impacts sur les communautés affectées,"Votre politique évite-t-elle les impacts sur les communautés affectées? Si oui, comment?",,semi-narratif,
E3-2-18,E3,E3-2,Actions et ressources relatives aux ressources aquatiques et marines,18,"AR 19 - 
AR 21",Niveau dans la hiérarchie de mitigation auquel les actions et ressources peuvent être attribuées (ressources en eau et marines),À quel niveau dans la hiérarchie de mitigation les actions et ressources peuvent-elles être attribuées (ressources en eau et marines)?,,semi-narratif,
E3-2-AR20,E3,E3-2,Actions et ressources relatives aux ressources aquatiques et marines,AR20,"AR 19 - 
AR 21",Informations sur les actions collectives spécifiques pour les ressources en eau et marines,Quelles informations pouvez-vous fournir sur les actions collectives spécifiques pour les ressources en eau et marines?,,narratif,
E3-2-19,E3,E3-2,Actions et ressources relatives aux ressources aquatiques et marines,19,"AR 19 - 
AR 21",Déclaration des actions et des ressources en relation avec les zones à risque hydrique,Quelles actions et ressources avez-vous allouées en relation avec les zones à risque hydrique?,,narratif,
E3-3-23a,E3,E3-3,Cibles en matière de ressources aquatiques et marines,23 a,,"Déclaration indiquant si et comment la cible est liée à la gestion des impacts, risques et opportunités matériels dans les zones à risque hydrique","Votre cible est-elle liée à la gestion des impacts, risques et opportunités matériels dans les zones à risque hydrique ? Si oui, comment ?",,narratif,
E3-3-23b,E3,E3-3,Cibles en matière de ressources aquatiques et marines,23 b,,"Déclaration indiquant si et comment la cible est liée à la gestion responsable des impacts, risques et opportunités liés aux ressources marines","Votre cible est-elle liée à la gestion responsable des impacts, risques et opportunités liés aux ressources marines ? Si oui, comment ?",,narratif,
E3-3-23c,E3,E3-3,Cibles en matière de ressources aquatiques et marines,23 c,,Déclaration indiquant si et comment la cible est liée à la réduction de la consommation d'eau,"Votre cible est-elle liée à la réduction de la consommation d'eau ? Si oui, comment ?",,narratif,
E3-3-24,E3,E3-3,Cibles en matière de ressources aquatiques et marines,24,AR 22,Les seuils écologiques (locaux) et les allocations spécifiques à l'entité ont été pris en compte lors de la définition de la cible liée aux ressources en eau et marines,Les seuils écologiques (locaux) et les allocations spécifiques à l'entité ont-ils été pris en compte lors de la définition de la cible liée aux ressources en eau et marines ?,,semi-narratif,
E3-3-24a,E3,E3-3,Cibles en matière de ressources aquatiques et marines,24 a,AR 22,Déclaration des seuils écologiques identifiés et méthodologie utilisée pour identifier les seuils écologiques (ressources en eau et marines),Quels sont les seuils écologiques identifiés et quelle méthodologie avez-vous utilisée pour les identifier (ressources en eau et marines) ?,,narratif,
E3-3-24b,E3,E3-3,Cibles en matière de ressources aquatiques et marines,24 b,AR 22,Déclaration de la manière dont le seuil écologique spécifique à l'entité a été déterminé (ressources en eau et marines),Comment le seuil écologique spécifique à l'entité a-t-il été déterminé (ressources en eau et marines) ?,,narratif,
E3-3-24c,E3,E3-3,Cibles en matière de ressources aquatiques et marines,24 c,AR 22,Déclaration de la manière dont la responsabilité de respecter le seuil écologique identifié est attribuée (ressources en eau et marines),Comment la responsabilité de respecter le seuil écologique identifié est-elle attribuée (ressources en eau et marines) ?,,narratif,
E3-3-25,E3,E3-3,Cibles en matière de ressources aquatiques et marines,25,,La cible adoptée et présentée liée aux ressources en eau et marines est obligatoire (basée sur la législation),La cible adoptée et présentée liée aux ressources en eau et marines est-elle obligatoire (basée sur la législation) ?,,semi-narratif,
E3-3-AR23a,E3,E3-3,Cibles en matière de ressources aquatiques et marines,AR 23 a,AR 24; AR26,La cible est liée à la réduction des prélèvements d'eau,Votre cible est-elle liée à la réduction des prélèvements d'eau ?,,semi-narratif,
E3-3-AR23b,E3,E3-3,Cibles en matière de ressources aquatiques et marines,AR 23 b,AR 25; AR26,La cible est liée à la réduction des rejets d'eau,Votre cible est-elle liée à la réduction des rejets d'eau ?,,semi-narratif,
E3-4-28e-1,E3,E3-4,Consommation d'eau,28 e,AR 29,Déclaration d'informations contextuelles concernant la consommation d'eau,Quelles informations contextuelles pouvez-vous fournir concernant votre consommation d'eau ?,,narratif,
E3-5-33a-2,E3,E3-5,"Incidences financières escomptées des incidences, risques et opportunités liés aux ressources aquatiques et marines",33 a,,Déclaration des informations qualitatives sur les effets financiers potentiels des risques et opportunités matériels découlant des impacts liés aux ressources en eau et marines,Quelles sont les informations qualitatives sur les effets financiers potentiels des risques et opportunités matériels découlant des impacts liés aux ressources en eau et marines ?,,narratif,
E3-5-33b,E3,E3-5,"Incidences financières escomptées des incidences, risques et opportunités liés aux ressources aquatiques et marines",33 b,,Description des effets considérés et des impacts liés (ressources en eau et marines),Quels sont les effets considérés et les impacts liés aux ressources en eau et marines ?,,narratif,
E3-5-33c,E3,E3-5,"Incidences financières escomptées des incidences, risques et opportunités liés aux ressources aquatiques et marines",33 c,,Déclaration des hypothèses critiques utilisées dans les estimations des effets financiers des risques et opportunités matériels découlant des impacts liés aux ressources en eau et marines,Quelles sont les hypothèses critiques utilisées dans les estimations des effets financiers des risques et opportunités matériels découlant des impacts liés aux ressources en eau et marines ?,,narratif,
E3-5-AR33-1,E3,E3-5,"Incidences financières escomptées des incidences, risques et opportunités liés aux ressources aquatiques et marines",AR 33,,Description des produits et services associés à un risque (ressources en eau et marines),Quels sont les produits et services associés à un risque lié aux ressources en eau et marines ?,,narratif,
E3-5-AR33-2,E3,E3-5,"Incidences financières escomptées des incidences, risques et opportunités liés aux ressources aquatiques et marines",AR 33,,"Explication de la manière dont les horizons temporels sont définis, les montants financiers sont estimés et les hypothèses critiques sont faites (ressources en eau et marines)","Comment les horizons temporels sont-ils définis, les montants financiers sont-ils estimés et quelles hypothèses critiques sont faites concernant les ressources en eau et marines ?",,narratif,
E4-SBM3-16a,E4,SBM-3,Stratégie ,16 a,,Liste des sites matériels dans ses propres opérations,Pouvez-vous fournir une liste de vos sites matériels dans vos propres opérations ?,,narratif,
E4-SBM3-16ai,E4,SBM-3,Stratégie ,16 a i),,Les activités liées aux sites situés dans ou à proximité de zones sensibles pour la biodiversité affectent négativement ces zones où les conclusions ou les mesures d'atténuation nécessaires n'ont pas été mises en œuvre ou sont en cours,Vos activités liées aux sites situés dans ou à proximité de zones sensibles pour la biodiversité affectent-elles négativement ces zones où les mesures d'atténuation nécessaires n'ont pas été mises en œuvre ou sont en cours ?,,narratif,
E4-SBM3-16aii,E4,SBM-3,Stratégie ,16 a ii),,Répartition des sites matériels situés dans ou à proximité de zones sensibles pour la biodiversité,Quelle est la répartition de vos sites matériels situés dans ou à proximité de zones sensibles pour la biodiversité ?,,narratif,
E4-SBM3-16aiii,E4,SBM-3,Stratégie ,16 a iii),,Déclaration des zones sensibles pour la biodiversité impactées,Quelles sont les zones sensibles pour la biodiversité que vous impactez ?,,narratif,
E4-SBM3-16b,E4,SBM-3,Stratégie ,16 b,,"Des impacts négatifs matériels en termes de dégradation des terres, de désertification ou de l'imperméabilisation des sols ont été identifiés","Avez-vous identifié des impacts négatifs matériels en termes de dégradation des terres, de désertification ou d'imperméabilisation des sols ?",,semi-narratif,
E4-SBM3-16c,E4,SBM-3,Stratégie ,16 c,,Les opérations propres affectent les espèces menacées,Vos opérations affectent-elles les espèces menacées ?,,semi-narratif,
